Approximate location,Precise location,Name,Email address,User IDs,Address,Phone number,Race and ethnicity,Political or religious beliefs,Sexual orientation,Other info,User payment info,Purchase history,Credit score,Other financial info,Health info,Fitness info,Emails,SMS or MMS,Other in-app messages,Photos,Videos,Voice or sound recordings,Music files,Other audio files,Files and docs,Calendar,Contacts,App interactions,In-app search history,Installed apps,Other user-generated content,Other actions,Web browsing history,Crash logs,Diagnostics,Other app performance data,Device or other IDs,App Name,Genre,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Girls Talk - Live Video Call,Dating,,
0,0,0.125,0.125,0.25,0,0.125,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0.25,0.25,0.25,1,MatchU - Live Video Chat,Dating,,
0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0,0.25,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.25,0.25,0.25,0.25,Galaxy - Chat Rooms & Dating,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xv random video chat,Dating,,
0.625,0.625,0,0.25,0,0,0,0.125,0.125,0.125,0.25,0,0.25,0,0,0,0,0,0,0.125,0.25,0,0,0,0,0,0,0,0.625,0,0,0.25,0,0,0.625,0.625,0.625,0.625,ROMEO | Gay dating,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Live Random Chat Voice Call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,Bhabi Cam Live - Video Calling,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Best Girl Live Talk,Dating,,
0.75,0.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,Online Girls Live Chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Live Video Call App: Live Talk,Dating,,
1,1,0.25,0,0,0,0,0.125,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0.125,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.625,Dating and chat - Maybe You,Dating,,
0.125,0.125,0.25,0.25,0,0,0.25,0.125,0.125,0.25,0.25,0,0.625,0,0,0,0,0,0,0.25,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0.625,Gay guys chat & dating app,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aunty Video Call,Dating,,
0.125,0.125,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,MeetEZ - Chat & find your love,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy Video Call Sexy Live,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Video Chat With Strangers,Dating,,
0.125,0.125,0.125,0,0.125,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0.125,0,0,0.25,0,0,0.25,Camgo - Dating Chat with Girls,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Live Call - Video call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XV Random Video Chat,Dating,,
0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0.25,Chemistry Forever,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jini Video Chat - Live Talk,Dating,,
0,0.125,0.125,0.125,0.25,0,0,0.125,0.125,0.125,0,0.125,0.25,0,0,0,0,0,0,0.25,0.125,0,0.125,0,0,0,0,0,0.25,0,0,0.125,0,0,0.625,0.25,0.625,0.25,FWB Hookup & NSA Dating: XFun,Dating,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Sexy Girls Random Video Call,Dating,,
